Date,Baseline,OBV & RSI & AU & AD & S
2018-01-02,0.0,
2018-01-03,460.0,
2018-01-04,410.0,
2018-01-05,-180.0,
2018-01-08,-1740.0,
2018-01-09,-1810.0,
2018-01-10,-2270.0,
2018-01-11,-790.0,
2018-01-12,650.0,
2018-01-16,-1080.0,
2018-01-17,160.0,
2018-01-18,-1350.0,
2018-01-19,-1180.0,
2018-01-22,-680.0,
2018-01-23,-1360.0,
2018-01-24,-1270.0,
2018-01-25,-1220.0,
2018-01-26,380.0,
2018-01-29,-260.0,
2018-01-30,-1650.0,
2018-01-31,-3050.0,
2018-02-01,-1280.0,
2018-02-02,-3020.0,
2018-02-05,-6910.0,
2018-02-06,-5480.0,
2018-02-07,-6850.0,
2018-02-08,-10170.0,
2018-02-09,-8470.0,
2018-02-12,-8180.0,
2018-02-13,-7470.0,
2018-02-14,-7010.0,
2018-02-15,-6440.0,
2018-02-16,-5130.0,
2018-02-20,-5660.0,
2018-02-21,-6570.0,
2018-02-22,-6380.0,
2018-02-23,-4430.0,
2018-02-26,-1940.0,
2018-02-27,-6740.0,
2018-02-28,-8410.0,
2018-03-01,-8980.0,
2018-03-02,-8570.0,
2018-03-05,-8160.0,
2018-03-06,-6680.0,
2018-03-07,-7990.0,
2018-03-08,-7560.0,
2018-03-09,-6880.0,
2018-03-12,-6450.0,
2018-03-13,-7850.0,
2018-03-14,-7690.0,
2018-03-15,-8330.0,
2018-03-16,-8690.0,
2018-03-19,-10040.0,
2018-03-20,-10170.0,
2018-03-21,-9710.0,
2018-03-22,-10900.0,
2018-03-23,-12900.0,
2018-03-26,-10850.0,
2018-03-27,-12100.0,
2018-03-28,-12900.0,
2018-03-29,-11050.0,
2018-04-02,-12780.0,
2018-04-03,-12040.0,
2018-04-04,-10560.0,
2018-04-05,-9430.0,
2018-04-06,-11140.0,
2018-04-09,-11770.0,
2018-04-10,-10150.0,
2018-04-11,-10700.0,
2018-04-12,-11100.0,
2018-04-13,-11140.0,
2018-04-16,-11250.0,
2018-04-17,-9370.0,
2018-04-18,-10300.0,
2018-04-19,-10610.0,
2018-04-20,-11250.0,
2018-04-23,-11330.0,
2018-04-24,-12000.0,
2018-04-25,-10360.0,
2018-04-26,-11640.0,
2018-04-27,-12230.0,
2018-04-30,-11160.0,
2018-05-01,-11420.0,
2018-05-02,-11850.0,
2018-05-03,-12690.0,
2018-05-04,-10360.0,
2018-05-07,-9070.0,
2018-05-08,-9740.0,
2018-05-09,-11510.0,
2018-05-10,-9850.0,
2018-05-11,-9470.0,
2018-05-14,-9110.0,
2018-05-15,-8640.0,
2018-05-16,-6580.0,
2018-05-17,-7260.0,
2018-05-18,-7660.0,
2018-05-21,-7530.0,
